"date","H1","ph1","H10","ph10"
1987-06-25,3291.05016299263,"1",2853.03964780954,"1"
1987-06-26,2890.6473445901,"1",2403.8976198198,"1"
1987-06-29,2338.15695688493,"1",1995.22279751041,"1"
1987-06-30,2034.95155085279,"1",2366.63641204495,"1"
1987-07-01,2363.13208367156,"1",2667.78405250004,"1"
1987-07-02,2618.13487108421,"1",3452.50516432301,"1"
1987-07-06,3507.94721026289,"1",4034.66529849883,"1"
1987-07-07,4111.57016086164,"1",4501.40697900088,"1"
1987-07-08,4532.78904261467,"1",5287.69993091512,"1"
1987-07-09,5255.75145609546,"1",5689.05296576049,"1"
1987-07-10,5729.61584033205,"1",6387.57829631207,"1"
1987-07-13,6364.11836129415,"1",7219.26315221833,"1"
1987-07-14,7179.85855136242,"1",7865.19781747189,"1"
1987-07-15,7946.4917520947,"1",8760.51640791889,"1"
1987-07-16,8769.5762934165,"1",9626.24776116977,"1"
1987-07-17,9570.1560519337,"1",10398.2091043696,"1"
1987-07-20,10428.2140581236,"1",11073.2571381732,"1"
1987-07-21,11058.5723796169,"1",11673.984007093,"1"
1987-07-22,11609.724559769,"1",11696.0293646142,"1"
1987-07-23,11683.9122077612,"1",10255.6547018376,"1"
1987-07-24,10136.0255174504,"1",8582.55727402627,"1"
1987-07-27,8348.47249131456,"1",6764.30109690479,"1"
1987-07-28,6707.528378316,"1",5396.46390898038,"1"
1987-07-29,5648.05758355927,"1",4705.48739826215,"1"
1987-07-30,4687.60378494126,"1",4135.47261539159,"1"
1987-07-31,3869.78800388216,"1",4078.71677430723,"1"
1987-08-03,4250.92898742292,"1",3695.67931022462,"1"
1987-08-04,3831.66797329541,"1",3938.84962114892,"1"
1987-08-05,3861.78096335574,"1",3111.10539115534,"1"
1987-08-06,3045.45135104064,"1",2460.10685871729,"1"
1987-08-07,2567.86582513488,"1",2017.24871353876,"1"
1987-08-10,1963.74700308665,"1",1706.97964335553,"1"
1987-08-11,1735.24027237663,"1",1780.13634494207,"1"
1987-08-12,1802.69784920623,"1",1715.04349885796,"1"
1987-08-13,1830.12798759732,"1",1956.2680707249,"1"
1987-08-14,1901.39718183842,"1",2619.72870109486,"1"
1987-08-17,2650.43279412292,"1",2766.77274986513,"1"
1987-08-18,2871.10996898895,"1",2386.73942841402,"1"
1987-08-19,2378.86971924357,"1",1957.89159489896,"1"
1987-08-20,1837.90239799212,"1",1790.0837497606,"1"
1987-08-21,1898.44119121294,"1",2352.25680469657,"1"
1987-08-24,2523.0834204883,"1",3435.39062202337,"1"
1987-08-25,3582.20559825464,"1",4013.2128665909,"1"
1987-08-26,4074.40677262704,"1",4911.55099495785,"1"
1987-08-27,4908.44159901471,"1",5118.8117275839,"1"
1987-08-28,5125.56048321221,"1",4618.5963847156,"1"
1987-08-31,4630.96897136074,"1",3974.42369069731,"1"
1987-09-01,3750.11212853018,"1",3660.99625342723,"1"
1987-09-02,3577.13471102093,"1",4102.40206998484,"1"
1987-09-03,4144.91439935517,"1",4718.24459019934,"1"
1987-09-04,4760.41196118551,"1",4070.23356781738,"1"
